city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,4,22,0.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,never,18,1.0
city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10-49,Pvt Ltd,1,29,0.0
city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,,1,46,0.0
city_11,0.55,,No relevent experience,Full time course,Graduate,STEM,<1,,,never,12,0.0
city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0.0
city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0.0
city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0.0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,136,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10-49,,1,27,0.0
city_20,0.7959999999999999,,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0.0
city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10-49,Early Stage Startup,1,86,0.0
city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,<1,10-49,Pvt Ltd,2,83,0.0
city_103,0.92,,No relevent experience,Full time course,High School,,4,,,3,75,0.0
city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,,Public Sector,2,42,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,,1,332,0.0
city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4,,,,140,0.0
city_16,0.91,Male,No relevent experience,no_enrollment,High School,,3,,,never,182,0.0
city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1.0
city_19,0.682,,Has relevent experience,no_enrollment,Graduate,STEM,5,10-49,Pvt Ltd,2,172,1.0
city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,0.0
city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0.0
city_160,0.92,,No relevent experience,Full time course,High School,,2,100-500,Pvt Ltd,1,142,0.0
city_74,0.579,,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0.0
city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1.0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10-49,Pvt Ltd,2,27,1.0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1.0
city_173,0.878,,No relevent experience,no_enrollment,Masters,STEM,>20,,,1,150,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0.0
city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,,1,140,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0.0
city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0.0
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0.0
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,,,4,46,0.0
city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0.0
city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,160,1.0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,10-49,NGO,2,101,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,,1,46,0.0
city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1.0
city_90,0.698,,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,0.0
city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0.0
city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0.0
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1.0
city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0.0
city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,,,1,45,0.0
city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,10-49,Pvt Ltd,2,109,0.0
city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17,0.0
city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1.0
city_36,0.893,,No relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,0.0
city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0.0
city_102,0.804,,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,164,0.0
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,,,4,290,0.0
city_102,0.804,Male,No relevent experience,no_enrollment,High School,,2,<10,NGO,never,145,0.0
city_103,0.92,,No relevent experience,no_enrollment,Phd,STEM,,,,,70,0.0
city_21,0.624,Male,No relevent experience,no_enrollment,,,3,,,1,24,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1.0
city_11,0.55,,No relevent experience,Full time course,Graduate,STEM,2,,,1,20,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0.0
city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,,,4,21,1.0
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0.0
city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0.0
city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,156,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0.0
city_114,0.926,,Has relevent experience,no_enrollment,Masters,STEM,>20,,,never,120,0.0
city_157,0.769,,Has relevent experience,no_enrollment,Graduate,No Major,14,10000+,,>4,47,0.0
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,2,100,1.0
city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,High School,,4,,,never,52,0.0
city_114,0.926,,Has relevent experience,no_enrollment,High School,,9,10-49,,4,39,0.0
city_103,0.92,Male,Has relevent experience,Full time course,High School,,4,,,1,112,1.0
city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0.0
city_16,0.91,,Has relevent experience,no_enrollment,,,11,,,1,4,0.0
city_16,0.91,,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,72,0.0
city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1.0
city_114,0.926,Male,No relevent experience,no_enrollment,High School,,6,,Pvt Ltd,never,28,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0.0
city_75,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,never,326,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33,0.0
city_102,0.804,,No relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40,0.0
city_160,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,18,,,1,198,1.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,0.0
city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,0.0
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,1.0
city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114,0.0
city_70,0.698,,Has relevent experience,,,,>20,,,>4,33,0.0
city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15,0.0
city_16,0.91,,No relevent experience,Full time course,High School,,3,,,1,8,0.0
city_173,0.878,Female,Has relevent experience,Part time course,High School,,2,100-500,NGO,1,22,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,0.0
city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10-49,Pvt Ltd,1,22,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,0.0
city_175,0.7759999999999999,,Has relevent experience,Full time course,Graduate,STEM,4,10-49,Funded Startup,1,11,0.0
city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,,,24,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,50,0.0
city_104,0.924,Male,No relevent experience,Full time course,High School,,6,,,never,15,0.0
city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10-49,Pvt Ltd,>4,31,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84,0.0
city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,0.0
city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,10,10-49,Pvt Ltd,>4,105,1.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,0.0
city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10-49,Pvt Ltd,>4,42,1.0
city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,0.0
city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,,,never,8,0.0
city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,,,3,17,1.0
city_83,0.923,Male,No relevent experience,no_enrollment,High School,,1,,,1,33,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,38,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178,0.0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,0.0
city_36,0.893,Male,Has relevent experience,no_enrollment,High School,,>20,,,never,87,0.0
city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,,,never,84,0.0
city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,32,0.0
city_100,0.887,,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31,1.0
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39,0.0
city_59,0.775,,Has relevent experience,no_enrollment,Graduate,STEM,7,10-49,Pvt Ltd,1,12,0.0
city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,50,0.0
city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,55,1.0
city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,,7,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,0.0
city_160,0.92,,Has relevent experience,Full time course,Graduate,Business Degree,>20,,,>4,90,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,8,0.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,102,0.0
city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,<1,10-49,Pvt Ltd,1,202,1.0
city_145,0.555,,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,22,0.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,3,,Pvt Ltd,never,42,0.0
city_160,0.92,,No relevent experience,no_enrollment,Primary School,,4,,Pvt Ltd,never,50,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88,0.0
city_73,0.754,,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,81,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7,0.0
city_21,0.624,Male,No relevent experience,no_enrollment,,,3,,Pvt Ltd,never,218,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83,0.0
city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,0.0
city_114,0.926,Male,No relevent experience,Part time course,Phd,STEM,>20,50-99,,>4,10,0.0
city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,0.0
city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,36,0.0
city_102,0.804,,No relevent experience,,Masters,STEM,6,10-49,Pvt Ltd,1,17,0.0
city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,80,1.0
city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,108,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,45,0.0
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,,,never,77,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,8,0.0
city_173,0.878,,No relevent experience,no_enrollment,Graduate,STEM,5,,,1,28,0.0
city_142,0.727,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,>4,37,0.0
city_16,0.91,,No relevent experience,Full time course,Graduate,STEM,2,,,2,108,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,2,162,0.0
city_73,0.754,,Has relevent experience,Full time course,High School,,9,,,>4,41,0.0
city_165,0.903,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,4,4,0.0
city_71,0.884,Female,No relevent experience,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,1,41,0.0
city_165,0.903,,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,2,12,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,190,0.0
city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,>4,29,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Public Sector,1,11,0.0
city_103,0.92,Male,No relevent experience,Full time course,High School,,3,10000+,Pvt Ltd,1,30,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,,>4,39,0.0
city_102,0.804,Male,Has relevent experience,Full time course,High School,,9,,,1,16,0.0
city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,5,0.0
city_26,0.698,Male,No relevent experience,Full time course,High School,,8,,,never,39,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,>4,29,0.0
city_21,0.624,,Has relevent experience,Full time course,Masters,STEM,4,50-99,NGO,2,210,0.0
city_103,0.92,Male,No relevent experience,Part time course,High School,,6,50-99,Funded Startup,1,54,0.0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,44,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,47,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,>4,74,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10-49,Pvt Ltd,1,8,1.0
city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,7,,,never,20,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,1,162,0.0
city_36,0.893,,No relevent experience,no_enrollment,Graduate,Business Degree,2,50-99,Pvt Ltd,1,110,0.0
city_46,0.762,Male,Has relevent experience,Part time course,High School,,3,10-49,Pvt Ltd,1,262,0.0
city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,14,,,1,6,0.0
city_64,0.6659999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,9,10-49,Pvt Ltd,1,19,1.0
city_64,0.6659999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,23,1.0
city_21,0.624,Male,No relevent experience,,Graduate,STEM,<1,,,1,107,1.0
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,,>4,134,0.0
